trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
655,False,"{'a': 0.5, 'e': 0.2578500325326696}",25,7,4.319422816944083,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
656,False,"{'a': 0.5, 'e': 0.2559171482177973}",20,10,7.996604098284742,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 0.2539832402346734}",20,2,5.143176308314873,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
658,False,"{'a': 0.5, 'e': 0.25204831631892716}",20,7,-26.96408500549165,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
659,False,"{'a': 0.5, 'e': 0.25011238421025167}",30,17,-72.96359421458408,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
660,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,3,20.85681117130631,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
661,False,"{'a': 0.5, 'e': 0.24623752639301838}",25,7,28.07609994022204,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.5, 'e': 0.24429861618388662}",20,11,8.23501832472477,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.5, 'e': 0.24235872878061585}",20,14,0.13857100682185797,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
664,False,"{'a': 0.5, 'e': 0.2404178719427531}",20,0,6.0294365267789685,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
665,False,"{'a': 0.5, 'e': 0.23847605343372313}",25,16,-21.70151572157921,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
666,False,"{'a': 0.5, 'e': 0.2365332810207974}",30,2,-4.564781731517101,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 0}",1
667,False,"{'a': 0.5, 'e': 0.23458956247506296}",25,10,23.233962168998126,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 0.23264490557139142}",20,0,8.308909829050211,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
669,False,"{'a': 0.5, 'e': 0.23069931808840777}",30,23,-0.22955386507728281,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
670,False,"{'a': 0.5, 'e': 0.22875280780845939}",20,16,8.715707267834425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.5, 'e': 0.22680538251758475}",20,0,-75.57474224741557,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
672,False,"{'a': 0.5, 'e': 0.22485705000548248}",35,20,-6.76102293740796,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
673,False,"{'a': 0.5, 'e': 0.22290781806547996}",25,2,31.264479349032523,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.5, 'e': 0.22095769449450242}",30,18,19.094444494882886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.5, 'e': 0.2190066870930415}",25,17,17.115311742084675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.5, 'e': 0.2170548036651242}",20,0,18.797117731438163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
677,False,"{'a': 0.5, 'e': 0.21510205201828167}",30,24,11.70332277828879,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.5, 'e': 0.21314843996351784}",20,11,7.576609734511374,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.5, 'e': 0.2111939753152784}",20,8,4.770660514667929,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
680,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,2,16.277623766347254,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
681,False,"{'a': 0.5, 'e': 0.20728251951317553}",20,15,-2.221767431104841,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
682,False,"{'a': 0.5, 'e': 0.20532554400513015}",25,8,23.09112686956186,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.5, 'e': 0.2033677471951825}",20,0,26.17522508384836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
684,False,"{'a': 0.5, 'e': 0.20140913691451723}",20,0,0.9028874808345424,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
685,False,"{'a': 0.5, 'e': 0.19944972099757285}",20,16,7.4841444477437555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.5, 'e': 0.19748950728201042}",25,10,14.29520675229815,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
687,False,"{'a': 0.5, 'e': 0.19552850360868218}",30,4,38.45945922855376,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.1935667178216002}",30,12,19.691818169912292,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.19160415776790501}",25,18,3.0572664351299452,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,0,31.522443295186726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
691,False,"{'a': 0.5, 'e': 0.18767674626469114}",25,5,19.392663620927294,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 0.1857119105248132}",20,13,13.09670915044028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.18374633193754078}",20,6,6.544501929429909,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 0.18178001836518562}",20,2,-10.727439438884291,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
695,False,"{'a': 0.5, 'e': 0.17981297767299934}",20,10,5.17007763449703,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.17784521772914214}",20,16,7.296673293241723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.5, 'e': 0.17587674640465115}",30,4,-14.440813001377037,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 0}",1
698,False,"{'a': 0.5, 'e': 0.17390757157340905}",20,0,-15.523178386820206,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
